,id,x,y,z,i,j,k,degree,to_remove
3429,71.0,560.0,796.7433714816835,97.97958971132712,112.0,159.3486742963367,3.265986323710904,2.0,False
3430,72.0,600.0,796.7433714816835,97.97958971132712,120.0,159.3486742963367,3.265986323710904,2.0,False
3458,73.0,580.0,831.384387633061,97.97958971132712,116.0,166.2768775266122,3.265986323710904,2.0,False
3839,74.0,140.0,184.75208614068023,130.63945294843617,28.0,36.95041722813605,4.354648431614539,2.0,False
3867,75.0,120.0,219.39310229205776,130.63945294843617,24.0,43.878620458411554,4.354648431614539,5.0,False
3868,76.0,160.0,219.39310229205776,130.63945294843617,32.0,43.878620458411554,4.354648431614539,2.0,False
4017,77.0,540.0,392.5981830489455,130.63945294843617,108.0,78.5196366097891,4.354648431614539,3.0,False
4072,78.0,500.0,461.8802153517006,130.63945294843617,100.0,92.37604307034012,4.354648431614539,9.0,False
4073,79.0,540.0,461.8802153517006,130.63945294843617,108.0,92.37604307034012,4.354648431614539,8.0,False
4076,80.0,660.0,461.8802153517006,130.63945294843617,132.0,92.37604307034012,4.354648431614539,6.0,False
4077,81.0,700.0,461.8802153517006,130.63945294843617,140.0,92.37604307034012,4.354648431614539,2.0,False
4100,82.0,480.0,496.5212315030781,130.63945294843617,96.0,99.30424630061563,4.354648431614539,5.0,False
4101,83.0,520.0,496.5212315030781,130.63945294843617,104.0,99.30424630061563,4.354648431614539,12.0,False
4102,84.0,560.0,496.5212315030781,130.63945294843617,112.0,99.30424630061563,4.354648431614539,8.0,False
4104,85.0,640.0,496.5212315030781,130.63945294843617,128.0,99.30424630061563,4.354648431614539,5.0,False
4105,86.0,680.0,496.5212315030781,130.63945294843617,136.0,99.30424630061563,4.354648431614539,5.0,False
4126,87.0,420.0,531.1622476544558,130.63945294843617,84.0,106.23244953089116,4.354648431614539,3.0,False
4127,88.0,460.0,531.1622476544558,130.63945294843617,92.0,106.23244953089116,4.354648431614539,5.0,False
4128,89.0,500.0,531.1622476544558,130.63945294843617,100.0,106.23244953089116,4.354648431614539,8.0,False
4129,90.0,540.0,531.1622476544558,130.63945294843617,108.0,106.23244953089116,4.354648431614539,8.0,False
4155,91.0,440.0,565.8032638058332,130.63945294843617,88.0,113.16065276116665,4.354648431614539,5.0,False
4156,92.0,480.0,565.8032638058332,130.63945294843617,96.0,113.16065276116665,4.354648431614539,9.0,False
4157,93.0,520.0,565.8032638058332,130.63945294843617,104.0,113.16065276116665,4.354648431614539,6.0,False
4180,94.0,340.0,600.4442799572108,130.63945294843617,68.0,120.08885599144216,4.354648431614539,2.0,False
4183,95.0,460.0,600.4442799572108,130.63945294843617,92.0,120.08885599144216,4.354648431614539,8.0,False
4184,96.0,500.0,600.4442799572108,130.63945294843617,100.0,120.08885599144216,4.354648431614539,11.0,False
4209,97.0,360.0,635.0852961085884,130.63945294843617,72.0,127.01705922171769,4.354648431614539,4.0,False
4212,98.0,480.0,635.0852961085884,130.63945294843617,96.0,127.01705922171769,4.354648431614539,8.0,False
4213,99.0,520.0,635.0852961085884,130.63945294843617,104.0,127.01705922171769,4.354648431614539,3.0,False
4236,100.0,340.0,669.7263122599659,130.63945294843617,68.0,133.9452624519932,4.354648431614539,2.0,False
4264,101.0,320.0,704.3673284113435,130.63945294843617,64.0,140.8734656822687,4.354648431614539,9.0,False
4265,102.0,360.0,704.3673284113435,130.63945294843617,72.0,140.8734656822687,4.354648431614539,7.0,False
4270,103.0,560.0,704.3673284113435,130.63945294843617,112.0,140.8734656822687,4.354648431614539,5.0,False
4271,104.0,600.0,704.3673284113435,130.63945294843617,120.0,140.8734656822687,4.354648431614539,2.0,False
