,id,x,y,z,i,j,k,degree,to_remove
13502,143.0,337.5,368.0607966083864,122.47448713915891,67.5,73.61215932167728,4.08248290463863,9.0,False
13503,144.0,362.5,368.0607966083864,122.47448713915891,72.5,73.61215932167728,4.08248290463863,5.0,False
13538,145.0,200.0,389.71143170299734,122.47448713915891,40.0,77.94228634059947,4.08248290463863,4.0,False
13539,146.0,225.0,389.71143170299734,122.47448713915891,45.0,77.94228634059947,4.08248290463863,10.0,False
13540,147.0,250.0,389.71143170299734,122.47448713915891,50.0,77.94228634059947,4.08248290463863,9.0,False
13541,148.0,275.0,389.71143170299734,122.47448713915891,55.0,77.94228634059947,4.08248290463863,10.0,False
13542,149.0,300.0,389.71143170299734,122.47448713915891,60.0,77.94228634059947,4.08248290463863,10.0,False
13543,150.0,325.0,389.71143170299734,122.47448713915891,65.0,77.94228634059947,4.08248290463863,12.0,False
13544,151.0,350.0,389.71143170299734,122.47448713915891,70.0,77.94228634059947,4.08248290463863,12.0,False
13545,152.0,375.0,389.71143170299734,122.47448713915891,75.0,77.94228634059947,4.08248290463863,8.0,False
13546,153.0,400.0,389.71143170299734,122.47448713915891,80.0,77.94228634059947,4.08248290463863,2.0,False
13575,154.0,112.5,411.36206679760835,122.47448713915891,22.5,82.27241335952166,4.08248290463863,4.0,False
13578,155.0,187.5,411.36206679760835,122.47448713915891,37.5,82.27241335952166,4.08248290463863,4.0,False
13579,156.0,212.5,411.36206679760835,122.47448713915891,42.5,82.27241335952166,4.08248290463863,9.0,False
13580,157.0,237.5,411.36206679760835,122.47448713915891,47.5,82.27241335952166,4.08248290463863,9.0,False
13581,158.0,262.5,411.36206679760835,122.47448713915891,52.5,82.27241335952166,4.08248290463863,10.0,False
13582,159.0,287.5,411.36206679760835,122.47448713915891,57.5,82.27241335952166,4.08248290463863,9.0,False
13583,160.0,312.5,411.36206679760835,122.47448713915891,62.5,82.27241335952166,4.08248290463863,9.0,False
13584,161.0,337.5,411.36206679760835,122.47448713915891,67.5,82.27241335952166,4.08248290463863,12.0,False
13585,162.0,362.5,411.36206679760835,122.47448713915891,72.5,82.27241335952166,4.08248290463863,12.0,False
13586,163.0,387.5,411.36206679760835,122.47448713915891,77.5,82.27241335952166,4.08248290463863,8.0,False
13616,164.0,100.0,433.0127018922193,122.47448713915891,20.0,86.60254037844386,4.08248290463863,2.0,False
13617,165.0,125.0,433.0127018922193,122.47448713915891,25.0,86.60254037844386,4.08248290463863,3.0,False
13620,166.0,200.0,433.0127018922193,122.47448713915891,40.0,86.60254037844386,4.08248290463863,3.0,False
13621,167.0,225.0,433.0127018922193,122.47448713915891,45.0,86.60254037844386,4.08248290463863,8.0,False
13622,168.0,250.0,433.0127018922193,122.47448713915891,50.0,86.60254037844386,4.08248290463863,9.0,False
13623,169.0,275.0,433.0127018922193,122.47448713915891,55.0,86.60254037844386,4.08248290463863,4.0,False
13624,170.0,300.0,433.0127018922193,122.47448713915891,60.0,86.60254037844386,4.08248290463863,4.0,False
13625,171.0,325.0,433.0127018922193,122.47448713915891,65.0,86.60254037844386,4.08248290463863,6.0,False
13626,172.0,350.0,433.0127018922193,122.47448713915891,70.0,86.60254037844386,4.08248290463863,5.0,False
